macro_sistema,n,top1_f83,top1_c1,delta_top1,top3_f83,top3_c1,delta_top3,mf1_f83,mf1_c1,delta_mf1,macro_model_acc_f83,macro_model_acc_c1
MOTOR,284,0.7183,0.75,0.0317,0.8415,0.9049,0.0634,0.5723,0.5939,0.0215,0.9789,0.8803
FRENOS,68,0.6765,0.7206,0.0441,0.8676,0.8676,0.0,0.3619,0.4316,0.0697,0.8235,0.6912
TRANSMISION,88,0.7273,0.8523,0.125,0.8523,0.9432,0.0909,0.3481,0.441,0.0929,0.8523,0.8182
SUSPENSION_CHASIS,53,0.6604,0.7547,0.0943,0.8491,0.9811,0.1321,0.2708,0.3795,0.1086,0.8113,0.7547
ELECTRICO,80,0.6375,0.7875,0.15,0.8375,0.9375,0.1,0.3079,0.4474,0.1396,0.8625,0.8625
CLIMATIZACION,8,0.375,0.5,0.125,0.625,0.625,0.0,0.0909,0.1667,0.0758,0.25,0.25
